St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 3741 4285]
40,50,20,Mode,40,[   0 4212 4285]
40,50,20,Median,40,[   0  781 4212 4285]
40,50,20,Mode,40,[   0 4212 4285]
40,50,20,Median,40,[   0  781 1604 4212 4285]
40,50,20,Mode,40,[   0 4212 4285]
40,50,20,Median,40,[   0  174 1604 4212 4285]
40,50,20,Mode,40,[   0 4212 4285]
40,50,20,Median,40,[   0  174 1604 4212 4285]
40,50,20,Mode,40,[   0 2659 3741 4212 4285]
40,50,20,Median,40,[   0  174 3550 4212 4285]
40,50,20,Mode,40,[   0 1496 1968 2659 3741 4212 4285]
40,50,20,Median,40,[   0  174 3741 4212 4285]
40,50,20,Mode,40,[   0 1496 1968 3088 3741 4212 4285]
40,50,20,Median,40,[   0  174 1003 3088 3741 4212 4285]
40,50,20,Mode,40,[   0 1496 1968 3088 3741 4212 4285]
40,50,20,Median,40,[   0  174 3088 3741 4212 4285]
40,50,20,Mode,40,[   0  781 1003 3088 3741 4212 4285]
