St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  253  768 1046]
40,50,20,Mode,40,[   0   48  839 1046]
40,50,20,Median,40,[   0  253  683  839 1046]
40,50,20,Mode,40,[   0   48  839 1046]
40,50,20,Median,40,[   0   48  683  839 1046]
40,50,20,Mode,40,[   0   48  253  839 1046]
40,50,20,Median,40,[   0   48  662  839  977 1046]
40,50,20,Mode,40,[   0   48  253  839  977 1046]
40,50,20,Median,40,[   0   48  253  401  662  839  977 1046]
40,50,20,Mode,40,[   0   48  253  401  598  839  977 1046]
40,50,20,Median,40,[   0   48  253  401  598  695  839  977 1046]
40,50,20,Mode,40,[   0   48  253  401  598  695  839  977 1046]
40,50,20,Median,40,[   0   48  253  401  598  695  839  977 1046]
40,50,20,Mode,40,[   0   48  253  401  598  695  839  977 1046]
40,50,20,Median,40,[   0   48  253  401  598  695  839  977 1046]
40,50,20,Mode,40,[   0   48  253  401  598  695  839  977 1046]
40,50,20,Median,40,[   0   48  253  401  598  695  839  977 1046]
40,50,20,Mode,40,[   0   48  253  401  598  695  839  977 1046]
