St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  862 1516 1642]
40,50,20,Mode,40,[   0  862 1593 1642]
40,50,20,Median,40,[   0  323  907 1516 1642]
40,50,20,Mode,40,[   0  323  862 1593 1642]
40,50,20,Median,40,[   0  323 1569 1642]
40,50,20,Mode,40,[   0  323 1473 1593 1642]
40,50,20,Median,40,[   0  204 1516 1593 1642]
40,50,20,Mode,40,[   0  323  500  862 1516 1593 1642]
40,50,20,Median,40,[   0  204  500  862 1004 1642]
40,50,20,Mode,40,[   0  323  500  862  945 1473 1593 1642]
40,50,20,Median,40,[   0  204  500  862 1004 1410 1516 1593 1642]
40,50,20,Mode,40,[   0  323  500  862 1004 1410 1516 1593 1642]
40,50,20,Median,40,[   0  204  500  862 1004 1410 1516 1593 1642]
40,50,20,Mode,40,[   0  204  500  862 1004 1410 1516 1593 1642]
40,50,20,Median,40,[   0  204  500  862  914 1004 1410 1516 1593 1642]
40,50,20,Mode,40,[   0  204  500  862  914 1004 1410 1516 1593 1642]
40,50,20,Median,40,[   0  204  500  862  914 1004 1410 1516 1593 1642]
40,50,20,Mode,40,[   0  204  500  862  914 1004 1410 1516 1593 1642]
