St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  293 2211]
40,50,20,Mode,40,[   0  293 2211]
40,50,20,Median,40,[   0 1413 1603 2211]
40,50,20,Mode,40,[   0 1413 1603 2211]
40,50,20,Median,40,[   0  293  648 1413 1603 2211]
40,50,20,Mode,40,[   0  293  648 1413 1603 2211]
40,50,20,Median,40,[   0  293  648 1413 1603 2211]
40,50,20,Mode,40,[   0  293  648 1413 1603 2211]
40,50,20,Median,40,[   0  293  648 1055 1413 1603 2211]
40,50,20,Mode,40,[   0  293  648 1413 1603 2211]
40,50,20,Median,40,[   0  293  648 1055 1413 1603 2211]
40,50,20,Mode,40,[   0  293  648 1413 1603 2211]
40,50,20,Median,40,[   0  293  648 1055 1413 1603 2211]
40,50,20,Mode,40,[   0  293  648 1413 1603 2211]
40,50,20,Median,40,[   0  293  408 1055 1413 1603 2211]
40,50,20,Mode,40,[   0  293  408  941 1413 1603 2211]
40,50,20,Median,40,[   0  293  408  941 1413 1603 2211]
40,50,20,Mode,40,[   0  293  408  941 1413 1603 2211]
