St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  206  453 2824]
40,50,20,Mode,40,[   0  206  453 2824]
40,50,20,Median,40,[   0  387  453 2824]
40,50,20,Mode,40,[   0  387  453 2824]
40,50,20,Median,40,[   0  387  453 2824]
40,50,20,Mode,40,[   0  387  453 2824]
40,50,20,Median,40,[   0  387  453 2824]
40,50,20,Mode,40,[   0  387  453 2824]
40,50,20,Median,40,[   0  387  453 2824]
40,50,20,Mode,40,[   0  387  453 2824]
40,50,20,Median,40,[   0  387  453 2824]
40,50,20,Mode,40,[   0  387  453 2824]
40,50,20,Median,40,[   0  387  453 2824]
40,50,20,Mode,40,[   0  387  453 2824]
40,50,20,Median,40,[   0  387  453 2824]
40,50,20,Mode,40,[   0  387  453 2824]
40,50,20,Median,40,[   0  387  453 2824]
40,50,20,Mode,40,[   0  387  453 2824]
