St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0   46 1322 2554]
40,50,20,Mode,40,[   0   46 1311 2554]
40,50,20,Median,40,[   0   46 1249 2554]
40,50,20,Mode,40,[   0   46 1311 2554]
40,50,20,Median,40,[   0   46 1118 1311 2554]
40,50,20,Mode,40,[   0   46 1118 1311 2554]
40,50,20,Median,40,[   0   46 1118 1311 2134 2289 2554]
40,50,20,Mode,40,[   0   46 1118 1311 2134 2289 2554]
40,50,20,Median,40,[   0   46  353 1118 1311 2134 2289 2554]
40,50,20,Mode,40,[   0   46  353 1118 1311 2134 2289 2554]
40,50,20,Median,40,[   0   46  353 1118 1311 2134 2289 2554]
40,50,20,Mode,40,[   0   46  353 1118 1311 2134 2289 2554]
40,50,20,Median,40,[   0   46  353 1118 1311 2021 2134 2289 2554]
40,50,20,Mode,40,[   0   46  353 1118 1311 2021 2134 2289 2554]
40,50,20,Median,40,[   0   46  353 1118 1234 1322 2021 2134 2289 2554]
40,50,20,Mode,40,[   0   46  353 1118 1234 1311 2021 2134 2289 2554]
40,50,20,Median,40,[   0   46  353 1118 1234 1322 2021 2134 2289 2554]
40,50,20,Mode,40,[   0   46  353 1118 1234 1311 2021 2134 2289 2554]
