St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  357  749 1046]
40,50,20,Mode,40,[   0  357 1046]
40,50,20,Median,40,[   0  357  721  869 1046]
40,50,20,Mode,40,[   0  357  721  869 1046]
40,50,20,Median,40,[   0  357  666  869 1046]
40,50,20,Mode,40,[   0  357  666  869 1046]
40,50,20,Median,40,[   0  357  507  666  869 1046]
40,50,20,Mode,40,[   0  357  507  666  869 1046]
40,50,20,Median,40,[   0  357  507  666  749  869 1046]
40,50,20,Mode,40,[   0  357  507  666  749  869 1046]
40,50,20,Median,40,[   0  357  507  666  749  869 1046]
40,50,20,Mode,40,[   0  357  507  666  749  869 1046]
40,50,20,Median,40,[   0  357  507  666  749  869 1046]
40,50,20,Mode,40,[   0  357  507  666  749  869 1046]
40,50,20,Median,40,[   0  357  507  666  749  869 1046]
40,50,20,Mode,40,[   0  357  507  666  749  869 1046]
40,50,20,Median,40,[   0  357  507  666  749  887 1046]
40,50,20,Mode,40,[   0  357  507  666  749  887 1046]
