St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  328  605 1046]
40,50,20,Mode,40,[   0  328  555 1046]
40,50,20,Median,40,[   0  328  558  977 1046]
40,50,20,Mode,40,[   0  328  555  977 1046]
40,50,20,Median,40,[   0  328  558  977 1046]
40,50,20,Mode,40,[   0  328  555  977 1046]
40,50,20,Median,40,[   0  328  558  977 1046]
40,50,20,Mode,40,[   0  328  555  977 1046]
40,50,20,Median,40,[   0  328  558  681  779  977 1046]
40,50,20,Mode,40,[   0  328  555  659  779  977 1046]
40,50,20,Median,40,[   0  328  558  681  779  977 1046]
40,50,20,Mode,40,[   0  328  555  659  779  977 1046]
40,50,20,Median,40,[   0  328  555  681  779  977 1046]
40,50,20,Mode,40,[   0  328  555  659  779  977 1046]
40,50,20,Median,40,[   0  328  555  681  779  977 1046]
40,50,20,Mode,40,[   0  328  555  659  779  977 1046]
40,50,20,Median,40,[   0  328  555  681  779  977 1046]
40,50,20,Mode,40,[   0  328  555  659  779  977 1046]
