St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0 1109 2189]
40,50,20,Mode,40,[   0   79 1109 2189]
40,50,20,Median,40,[   0   79 1109 2189]
40,50,20,Mode,40,[   0   79  485 1109 2189]
40,50,20,Median,40,[   0   79 1109 2189]
40,50,20,Mode,40,[   0   79  485 1109 2189]
40,50,20,Median,40,[   0   79 1109 2189]
40,50,20,Mode,40,[   0   79  485  680 1109 2189]
40,50,20,Median,40,[   0   79 1109 2189]
40,50,20,Mode,40,[   0   79  485  680 1109 2189]
40,50,20,Median,40,[   0   79  485  550 1109 2189]
40,50,20,Mode,40,[   0   79  485  550 1109 2189]
40,50,20,Median,40,[   0   79  485  550 1109 2189]
40,50,20,Mode,40,[   0   79  485  550 1109 2189]
40,50,20,Median,40,[   0   79  485  550  957 1070 1119 2189]
40,50,20,Mode,40,[   0   79  485  550  957 1070 1258 2189]
40,50,20,Median,40,[   0   79  485  550  680  730  957 1070 1119 2189]
40,50,20,Mode,40,[   0   79  485  550  680  730  957 1070 1258 2189]
