St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  378  836 1046]
40,50,20,Mode,40,[   0  378  923 1046]
40,50,20,Median,40,[   0  202  475 1046]
40,50,20,Mode,40,[   0  267  378 1046]
40,50,20,Median,40,[   0  202  475  666  923 1046]
40,50,20,Mode,40,[   0  267  378  666  923 1046]
40,50,20,Median,40,[   0  157  378  475  666  923 1046]
40,50,20,Mode,40,[   0  157  378  475  666  923 1046]
40,50,20,Median,40,[   0  202  378  475  666  836 1046]
40,50,20,Mode,40,[   0  267  378  475  666  836 1046]
40,50,20,Median,40,[   0  157  378  475  666  836 1046]
40,50,20,Mode,40,[   0  157  378  475  666  836 1046]
40,50,20,Median,40,[   0  157  378  475  666  836 1046]
40,50,20,Mode,40,[   0  157  378  475  666  836 1046]
40,50,20,Median,40,[   0  157  378  475  666  836 1046]
40,50,20,Mode,40,[   0  157  378  475  666  836 1046]
40,50,20,Median,40,[   0  157  378  475  666  836  923  976 1046]
40,50,20,Mode,40,[   0  157  378  475  666  836  923  976 1046]
