St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  111  854 1046]
40,50,20,Mode,40,[   0   50  977 1046]
40,50,20,Median,40,[   0   93  571  863 1046]
40,50,20,Mode,40,[   0   50  682  977 1046]
40,50,20,Median,40,[   0   50  341  863 1046]
40,50,20,Mode,40,[   0   50  341  977 1046]
40,50,20,Median,40,[   0   50  569  682  863 1046]
40,50,20,Mode,40,[   0   50  341  569  682  977 1046]
40,50,20,Median,40,[   0   50  569  682  854  977 1046]
40,50,20,Mode,40,[   0   50  569  682  854  977 1046]
40,50,20,Median,40,[   0   50  111  341  569  682  854  977 1046]
40,50,20,Mode,40,[   0   50  569  682  854  977 1046]
40,50,20,Median,40,[   0   50  111  341  508  569  682  854  977 1046]
40,50,20,Mode,40,[   0   50  341  508  569  682  854  977 1046]
40,50,20,Median,40,[   0   50  102  341  508  569  682  854  977 1046]
40,50,20,Mode,40,[   0   50  341  508  569  682  854  977 1046]
40,50,20,Median,40,[   0   50  102  341  508  569  682  854  977 1046]
40,50,20,Mode,40,[   0   50  341  508  569  682  854  977 1046]
