St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  585 1372 1810]
40,50,20,Mode,40,[   0  643 1810]
40,50,20,Median,40,[   0   79  643 1810]
40,50,20,Mode,40,[   0   54  643 1810]
40,50,20,Median,40,[   0   79 1014 1810]
40,50,20,Mode,40,[   0   54  643 1810]
40,50,20,Median,40,[   0   54  644 1810]
40,50,20,Mode,40,[   0   54  585  643 1810]
40,50,20,Median,40,[   0   54  644 1372 1545 1810]
40,50,20,Mode,40,[   0   54  585  643 1372 1489 1810]
40,50,20,Median,40,[   0   54  361  643  732 1372 1545 1810]
40,50,20,Mode,40,[   0   54  364  643  762 1013 1810]
40,50,20,Median,40,[   0   54  364  643  732 1147 1372 1545 1810]
40,50,20,Mode,40,[   0   54  364  643  762 1147 1810]
40,50,20,Median,40,[   0   54  364  643  732 1147 1372 1545 1810]
40,50,20,Mode,40,[   0   54  364  643  762 1147 1810]
40,50,20,Median,40,[   0   54  364  643  762 1147 1372 1545 1810]
40,50,20,Mode,40,[   0   54  364  585  643  762 1147 1810]
