St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  394  820 1046]
40,50,20,Mode,40,[   0  766 1046]
40,50,20,Median,40,[   0   81  494  855 1046]
40,50,20,Mode,40,[   0  265  485  766 1046]
40,50,20,Median,40,[   0   81  485  766 1046]
40,50,20,Mode,40,[   0  265  485  766  976 1046]
40,50,20,Median,40,[   0   44  265  494  766  976 1046]
40,50,20,Mode,40,[   0   44  265  485  766  976 1046]
40,50,20,Median,40,[   0  265  486  686  976 1046]
40,50,20,Mode,40,[   0  265  485  686  976 1046]
40,50,20,Median,40,[   0   44  265  394  494  686  976 1046]
40,50,20,Mode,40,[   0   44  265  394  485  686  976 1046]
40,50,20,Median,40,[   0   44  265  394  494  686  766  855  976 1046]
40,50,20,Mode,40,[   0   44  265  394  485  686  766  855  976 1046]
40,50,20,Median,40,[   0   44  265  394  485  553  686  766  855  976 1046]
40,50,20,Mode,40,[   0   44  265  394  485  553  686  766  855  976 1046]
40,50,20,Median,40,[   0   44  265  394  485  553  686  766  855  976 1046]
40,50,20,Mode,40,[   0   44  265  394  485  553  686  766  855  976 1046]
