St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  353 2020]
40,50,20,Mode,40,[   0  352 1423 2020]
40,50,20,Median,40,[   0  353 1423 1707 2020]
40,50,20,Mode,40,[   0 1423 1754 2020]
40,50,20,Median,40,[   0 1423 1707 2020]
40,50,20,Mode,40,[   0 1423 1754 2020]
40,50,20,Median,40,[   0 1224 1423 1707 2020]
40,50,20,Mode,40,[   0 1224 1423 1754 2020]
40,50,20,Median,40,[   0  352  484  866 1224 1423 1707 2020]
40,50,20,Mode,40,[   0  352  484  866 1224 1423 1754 2020]
40,50,20,Median,40,[   0  352  484  866 1224 1423 1707 2020]
40,50,20,Mode,40,[   0  352  484  866 1224 1423 1754 2020]
40,50,20,Median,40,[   0  352  484  866 1224 1423 1577 1707 2020]
40,50,20,Mode,40,[   0  352  484  866 1224 1423 1577 1754 2020]
40,50,20,Median,40,[   0  352  484  866 1112 1423 1577 1707 2020]
40,50,20,Mode,40,[   0  352  484  866 1112 1423 1577 1754 2020]
40,50,20,Median,40,[   0  352  484  866 1112 1423 1706 1754 2020]
40,50,20,Mode,40,[   0  352  484  866 1112 1423 1706 1754 2020]
