St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  149  508 1327]
40,50,20,Mode,40,[   0  129  581 1327]
40,50,20,Median,40,[   0  508  581 1327]
40,50,20,Mode,40,[   0  508  581 1327]
40,50,20,Median,40,[   0  129  170  508  581 1327]
40,50,20,Mode,40,[   0  129  170  508  581 1327]
40,50,20,Median,40,[   0  129  170  495  581 1327]
40,50,20,Mode,40,[   0  129  170  495  581 1327]
40,50,20,Median,40,[   0  129  170  495  581 1327]
40,50,20,Mode,40,[   0  129  170  495  581 1327]
40,50,20,Median,40,[   0  129  170  495  581 1327]
40,50,20,Mode,40,[   0  129  170  495  581 1327]
40,50,20,Median,40,[   0  129  170  495  581 1327]
40,50,20,Mode,40,[   0  129  170  495  581 1327]
40,50,20,Median,40,[   0  129  170  495  581 1327]
40,50,20,Mode,40,[   0  129  170  495  581 1327]
40,50,20,Median,40,[   0  129  170  495  581 1327]
40,50,20,Mode,40,[   0  129  170  495  581 1327]
