St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  526 1046]
40,50,20,Mode,40,[   0   53  473 1046]
40,50,20,Median,40,[   0  473  672 1046]
40,50,20,Mode,40,[   0   53  473  636 1046]
40,50,20,Median,40,[   0   53  473  672 1046]
40,50,20,Mode,40,[   0   53  473  636 1046]
40,50,20,Median,40,[   0   53  473  636 1046]
40,50,20,Mode,40,[   0   53  473  636 1046]
40,50,20,Median,40,[   0   53  473  636  745 1046]
40,50,20,Mode,40,[   0   53  473  636  745 1046]
40,50,20,Median,40,[   0   53  234  397  473  636  745 1046]
40,50,20,Mode,40,[   0   53  234  397  473  636  745 1046]
40,50,20,Median,40,[   0   53  234  279  397  473  636  745 1046]
40,50,20,Mode,40,[   0   53  234  279  397  473  636  745 1046]
40,50,20,Median,40,[   0   53  234  279  397  473  636  745 1046]
40,50,20,Mode,40,[   0   53  234  279  397  473  636  745 1046]
40,50,20,Median,40,[   0  105  234  279  397  473  636  745 1046]
40,50,20,Mode,40,[   0  105  234  279  397  473  636  745 1046]
