St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  124  682 1046]
40,50,20,Mode,40,[   0   44  681 1046]
40,50,20,Median,40,[   0  558  856 1046]
40,50,20,Mode,40,[   0  681  800 1046]
40,50,20,Median,40,[   0  553  681  856 1046]
40,50,20,Mode,40,[   0  553  681  800 1046]
40,50,20,Median,40,[   0  553  681  800 1046]
40,50,20,Mode,40,[   0  553  681  800 1046]
40,50,20,Median,40,[   0   44  197  553  681  800  975 1046]
40,50,20,Mode,40,[   0   44  205  553  681  800  975 1046]
40,50,20,Median,40,[   0   44  197  553  681  800  856  975 1046]
40,50,20,Mode,40,[   0   44  205  553  681  800  856  975 1046]
40,50,20,Median,40,[   0   44  197  553  681  800  856  975 1046]
40,50,20,Mode,40,[   0   44  205  553  681  800  856  975 1046]
40,50,20,Median,40,[   0   44  197  553  681  800  856  975 1046]
40,50,20,Mode,40,[   0   44  205  553  681  800  856  975 1046]
40,50,20,Median,40,[   0   44  197  553  681  800  856  975 1046]
40,50,20,Mode,40,[   0   44  205  553  681  800  856  975 1046]
