St_len_min,K_nb_max,N_cl_max,Cl_cen,Len_min,St_edges
40,50,20,Median,40,[   0  839 1046]
40,50,20,Mode,40,[   0   52 1046]
40,50,20,Median,40,[   0   52  472 1046]
40,50,20,Mode,40,[   0   52  486  799 1046]
40,50,20,Median,40,[   0   52  472  799  918 1046]
40,50,20,Mode,40,[   0   52  486  799  887 1046]
40,50,20,Median,40,[   0   52  376  472  799  918 1046]
40,50,20,Mode,40,[   0   52  376  486  799  887 1046]
40,50,20,Median,40,[   0   52  376  472  799  918 1046]
40,50,20,Mode,40,[   0   52  376  486  799  887 1046]
40,50,20,Median,40,[   0   52  376  472  799  887  990 1046]
40,50,20,Mode,40,[   0   52  376  486  799  887  990 1046]
40,50,20,Median,40,[   0   52  376  472  712  799  887  990 1046]
40,50,20,Mode,40,[   0   52  376  486  712  799  887  990 1046]
40,50,20,Median,40,[   0   52  376  472  712  799  887  990 1046]
40,50,20,Mode,40,[   0   52  376  486  712  799  887  990 1046]
40,50,20,Median,40,[   0   52  376  437  486  712  799  887  990 1046]
40,50,20,Mode,40,[   0   52  376  437  486  712  799  887  990 1046]
